Noncampuscrime070809.csv
UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,MURD7,NEG_M7,FORCIB7,NONFOR7,ROBBE7,AGG_A7,BURGLA7,VEHIC7,ARSON7,MURD8,NEG_M8,FORCIB8,NONFOR8,ROBBE8,AGG_A8,BURGLA8,VEHIC8,ARSON8,MURD9,NEG_M9,FORCIB9,NONFOR9,ROBBE9,AGG_A9,BURGLA9,VEHIC9,ARSON9,FILTER07,FILTER08,FILTER09
101116001.0,South University-Montgomery,South University - Montgomery,5355 Vaughn Road,MONTGOMERY,AL,361161120.0,3.0,Private for-profit, 4-year or above,163.0,498.0,661.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
101143001.0,Enterprise-Ozark Community College,Main Campus,600 PLAZA DR,ENTERPRISE,AL,363301300.0,4.0,Public, 2-year,1701.0,1132.0,2833.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
101143002.0,Enterprise-Ozark Community College,Alabama Aviatipn Center,3405 Highway 231 South,Ozark,AL,36360.0,4.0,Public, 2-year,1701.0,1132.0,2833.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,1.0
101143003.0,Enterprise-Ozark Community College,Alabama Aviation Center - Mobile,1975 Avenue C,Mobile,AL,366151403.0,4.0,Public, 2-year,1701.0,1132.0,2833.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,1.0
101161001.0,James H Faulkner State Community College,Main Campus,1900 US HWY 31 S,Bay Minette,AL,365072698.0,4.0,Public, 2-year,1575.0,2780.0,4355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
101189001.0,Faulkner University,Main Campus,5345 ATLANTA HWY,MONTGOMERY,AL,361093378.0,2.0,Private nonprofit, 4-year or above,1266.0,2006.0,3272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
101189002.0,Faulkner University,FAULKNER UNIVERSITY-BIRMINGHAM,2200 RIVERCHASE CENTER,BIRMINGHAM,AL,352444506.0,2.0,Private nonprofit, 4-year or above,1266.0,2006.0,3272.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
101189003.0,Faulkner University,FAULKNER UNIVERSITY-HUNTSVILLE,420 WYNN DR,HUNTSVILLE,AL,358051963.0,2.0,Private nonprofit, 4-year or above,1266.0,2006.0,3272.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
101189004.0,Faulkner University,FAULKNER UNIVERSITY-MOBILE,3943 Airport Boulevard,MOBILE,AL,366084112.0,2.0,Private nonprofit, 4-year or above,1266.0,2006.0,3272.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
101240001.0,Gadsden State Community College,Gadsden State Community College,PO Box 227,GADSDEN,AL,359020227.0,4.0,Public, 2-year,2702.0,4215.0,6917.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
101286001.0,George C Wallace Community College-Dothan,Wallace Campus,1141 Wallace Drive,DOTHAN,AL,363039234.0,4.0,Public, 2-year,1530.0,3123.0,4653.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
101286002.0,George C Wallace Community College-Dothan,Ft. Rucker Center,Building 4502 Kingsman Street,Fort Rucker,AL,36362.0,4.0,Public, 2-year,1530.0,3123.0,4653.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
101286004.0,George C Wallace Community College-Dothan,Sparks Campus,3235 South Eufaula Ave.,Eufaula,AL,36027.0,4.0,Public, 2-year,1530.0,3123.0,4653.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
101295001.0,George C Wallace State Community College-Hanceville,Main Campus,801 MAIN ST NW,HANCEVILLE,AL,350772000.0,4.0,Public, 2-year,2313.0,3998.0,6311.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
101301001.0,George C Wallace State Community College-Selma,Main Campus,3000 EARL GOODWIN PARKWAY,SELMA,AL,367032808.0,4.0,Public, 2-year,645.0,1293.0,1938.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
101365001.0,Herzing College,Main Campus,280 WEST VALLEY AVENUE,BIRMINGHAM,AL,35209.0,3.0,Private for-profit, 4-year or above,117.0,308.0,425.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
101435001.0,Huntingdon College,Main Campus,1500 East Fairview Avenue,Montgomery,AL,361062148.0,2.0,Private nonprofit, 4-year or above,519.0,556.0,1075.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
101453001.0,Heritage Christian University,Main Campus,3625 HELTON DR,FLORENCE,AL,35630.0,2.0,Private nonprofit, 4-year or above,98.0,13.0,111.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
101462001.0,J F Drake State Technical College,Main Campus,3421 MERIDIAN ST N,HUNTSVILLE,AL,358111544.0,4.0,Public, 2-year,561.0,697.0,1258.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
101480001.0,Jacksonville State University,Main Campus,700 Pelham Road North,Jacksonville,AL,36265.0,1.0,Public, 4-year or above,3839.0,5512.0,9351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
101499001.0,Jefferson Davis Community College,Main Campus,220 ALCO DR,BREWTON,AL,36426.0,4.0,Public, 2-year,602.0,831.0,1433.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
101505001.0,Jefferson State Community College,Jefferson,2601 CARSON RD,BIRMINGHAM,AL,352153098.0,4.0,Public, 2-year,3429.0,5152.0,8581.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
101514001.0,John C Calhoun State Community College,Main Campus,HWY 31 N,DECATUR,AL,356092216.0,4.0,Public, 2-year,4811.0,6401.0,11212.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
101541001.0,Judson College,Main Campus,302 BIBB ST,MARION,AL,36756.0,2.0,Private nonprofit, 4-year or above,14.0,299.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
101569001.0,Lawson State Community College-Birmingham Campus,Lawson State Community College,3060 WILSON RD SW,BIRMINGHAM,AL,352211717.0,4.0,Public, 2-year,1601.0,2752.0,4353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
101569002.0,Lawson State Community College-Birmingham Campus,Bessemer Campus,1100 9th Ave,Bessemer,AL,35022.0,4.0,Public, 2-year,1601.0,2752.0,4353.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
101587001.0,University of West Alabama,Main Campus,STATION ONE,LIVINGSTON,AL,35470.0,1.0,Public, 4-year or above,1216.0,3941.0,5157.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
101602001.0,Lurleen B Wallace Community College,Main Campus,1000 Dannelly Blvd.,ANDALUSIA,AL,364201418.0,4.0,Public, 2-year,657.0,1133.0,1790.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
101602002.0,Lurleen B Wallace Community College,Lurleen B. Wallace Community College-MacArthur Cam,1708 N. Main Street,Opp,AL,36467.0,4.0,Public, 2-year,657.0,1133.0,1790.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
101602003.0,Lurleen B Wallace Community College,Lurleen B. Wallace Community College-Greenville Ca,750 Greenville Bypass,Greenville,AL,36037.0,4.0,Public, 2-year,657.0,1133.0,1790.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
101648001.0,Marion Military Institute,Main Campus,1101 Washington St.,Marion,AL,36756.0,4.0,Public, 2-year,367.0,144.0,511.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
101675001.0,Miles College,Main Campus,5500 MYRON MASSEY BLVD,FAIRFIELD,AL,35064.0,2.0,Private nonprofit, 4-year or above,848.0,943.0,1791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
101693001.0,University of Mobile,University of Mobile,5735 College Parkway,MOBILE,AL,366132842.0,2.0,Private nonprofit, 4-year or above,520.0,1050.0,1570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
101709001.0,University of Montevallo,University of Montevallo,STATION 6001,MONTEVALLO,AL,35115.0,1.0,Public, 4-year or above,934.0,2110.0,3044.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
101736001.0,Northwest Shoals Community College-Muscle Shoals,Main Campus,800 GEORGE WALLACE BLVD,MUSCLE SHOALS,AL,35661.0,4.0,Public, 2-year,1883.0,2637.0,4520.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
101736002.0,Northwest Shoals Community College-Muscle Shoals,Phil Campbell Campus,2080 College Road,Phil Campbell,AL,35581.0,4.0,Public, 2-year,1883.0,2637.0,4520.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
101879001.0,University of North Alabama,Main Campus,1 Harrison Plaza- UNA Box 5067,FLORENCE,AL,356320001.0,1.0,Public, 4-year or above,3135.0,4059.0,7194.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
101879002.0,University of North Alabama,East Campus,1640 tune av.,florence,AL,35630.0,1.0,Public, 4-year or above,3135.0,4059.0,7194.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
101897001.0,Northeast Alabama Community College,Northeast Alabama Community College,P.O. Box 159  / 138 Alabama Hwy 35,Rainsville,AL,35986.0,4.0,Public, 2-year,1250.0,2120.0,3370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
101912001.0,Oakwood University,Main Campus,7000 ADVENTIST BLVD NW,HUNTSVILLE,AL,358960003.0,2.0,Private nonprofit, 4-year or above,797.0,1119.0,1916.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
101949001.0,Alabama Southern Community College,Main Campus,P.O. Box 2000,MONROEVILLE,AL,364612000.0,4.0,Public, 2-year,532.0,899.0,1431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
101949002.0,Alabama Southern Community College,THOMASVILLE CAMPUS,30755 Hwy 43 South,Thomasville,AL,367842000.0,4.0,Public, 2-year,532.0,899.0,1431.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
101949003.0,Alabama Southern Community College,GILBERTOWN CAMPUS,251 College Street,Gilbertown,AL,36908.0,4.0,Public, 2-year,532.0,899.0,1431.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
101949004.0,Alabama Southern Community College,JACKSON CAMPUS,235 College Avenue,Jackson,AL,36545.0,4.0,Public, 2-year,532.0,899.0,1431.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
101958001.0,Prince Institute of Professional Studies Inc,Main Campus,7735 ATLANTA HWY,MONTGOMERY,AL,361174231.0,6.0,Private for-profit, 2-year,2.0,61.0,63.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
101994001.0,Reid State Technical College,Main Campus,I65 AND HWY 83,EVERGREEN,AL,36401.0,4.0,Public, 2-year,325.0,435.0,760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
102030001.0,Bishop State Community College,Main Campus,351 NORTH BROAD STREET,MOBILE,AL,366035898.0,4.0,Public, 2-year,1287.0,2311.0,3598.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
102049001.0,Samford University,Main Campus,800 LAKESHORE DR,BIRMINGHAM,AL,352292240.0,2.0,Private nonprofit, 4-year or above,1877.0,2781.0,4658.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,1.0,1.0
102058001.0,Selma University,Selma University,1501 Lapsley St, Dinkins Hall,Selma,AL,36701.0,2.0,Private nonprofit, 4-year or above,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,1.0,1.0
102067001.0,Shelton State Community College,Main Campus,9500 OLD GREENSBORO RD,TUSCALOOSA,AL,35405.0,4.0,Public, 2-year,2716.0,3092.0,5808.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
102067002.0,Shelton State Community College,C. A. Fredd Campus,3401 MARTIN LUTHER KING BLVD,TUSCALOOSA,AL,354013541.0,4.0,Public, 2-year,2716.0,3092.0,5808.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
102076001.0,Snead State Community College,Main Campus,P.O. Box 734,BOAZ,AL,359570734.0,4.0,Public, 2-year,872.0,1611.0,2483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
