Noncampuscrime060708[3,4,5,6].csv
Address,City,State,Zip
4107 MERIDIAN ST,NORMAL,AL,35762.0
ADMINISTRATION BLDG SUITE 1070,701 20th Street So,BIRMINGHAM,AL
1200 TAYLOR RD,MONTGOMERY,AL,361173553.0
301 SPARKMAN DR,HUNTSVILLE,AL,35899.0
915 SOUTH JACKSON ST,MONTGOMERY,AL,361040271.0
946 University Blvd,TUSCALOOSA,AL,354870180.0
1675 CHEROKEE RD,ALEXANDER CITY,AL,350110699.0
34091 Highway 280,Childersburg,AL,35044.0
300 N BEATY ST,ATHENS,AL,35611.0
7400 EAST DRIVE,MONTGOMERY,AL,361173596.0
107 Samford Hall,AUBURN UNIVERSITY,AL,36849.0
900 Arkadelphia Road,Birmingham,AL,35254.0
2602 COLLEGE DR,PHENIX CITY,AL,36869.0
1804 GREEN ST,SELMA,AL,36701.0
5355 Vaughn Road,MONTGOMERY,AL,361161120.0
600 PLAZA DR,ENTERPRISE,AL,363301300.0
1900 US HWY 31 S,Bay Minette,AL,365072698.0
5345 ATLANTA HWY,MONTGOMERY,AL,361093378.0
2200 RIVERCHASE CENTER,BIRMINGHAM,AL,352444506.0
420 WYNN DR,HUNTSVILLE,AL,358051963.0
3943 Airport Boulevard,MOBILE,AL,366084112.0
1001 GEORGE WALLACE DR,GADSDEN,AL,359020227.0
1141 Wallace Drive,DOTHAN,AL,363039234.0
Building 4502 Kingsman Street,Fort Rucker,AL,36362.0
3235 South Eufaula Ave.,Eufaula,AL,36027.0
801 MAIN ST NW,HANCEVILLE,AL,350772000.0
3000 EARL GOODWIN PARKWAY,SELMA,AL,367032808.0
280 WEST VALLEY AVENUE,BIRMINGHAM,AL,35209.0
1500 East Fairview Avenue,Montgomery,AL,361062148.0
3625 HELTON DR,FLORENCE,AL,35630.0
3421 MERIDIAN ST N,HUNTSVILLE,AL,358111544.0
700 Pelham Road North,Jacksonville,AL,36265.0
220 ALCO DR,BREWTON,AL,36426.0
2601 CARSON RD,BIRMINGHAM,AL,352153098.0
HWY 31 N,DECATUR,AL,356092216.0
302 BIBB ST,MARION,AL,36756.0
3060 WILSON RD SW,BIRMINGHAM,AL,352211717.0
1100 9th Ave,Bessemer,AL,35022.0
STATION ONE,LIVINGSTON,AL,35470.0
1000 Dannelly Blvd.,ANDALUSIA,AL,364201418.0
1708 N. Main Street,Opp,AL,36467.0
750 Greenville Bypass,Greenville,AL,36037.0
1101 Washington St.,Marion,AL,36756.0
5500 MYRON MASSEY BLVD,FAIRFIELD,AL,35064.0
5735 College Parkway,MOBILE,AL,366132842.0
STATION 6001,MONTEVALLO,AL,35115.0
800 GEORGE WALLACE BLVD,MUSCLE SHOALS,AL,35661.0
2080 College Road,Phil Campbell,AL,35581.0
1 Harrison Plaza- UNA Box 5067,FLORENCE,AL,356320001.0
1640 tune av.,florence,AL,35630.0
P.O. Box 159  / 138 Alabama Hwy 35,Rainsville,AL,35986.0
7000 ADVENTIST BLVD NW,HUNTSVILLE,AL,358960003.0
P.O. Box 2000,MONROEVILLE,AL,364612000.0
30755 Hwy 43 South,Thomasville,AL,367842000.0
251 College Street,Gilbertown,AL,36908.0
235 College Avenue,Jackson,AL,36545.0
186 Field of Dreams Drive,Demopolis,AL,36732.0
7735 ATLANTA HWY,MONTGOMERY,AL,361174231.0
I65 AND HWY 83,EVERGREEN,AL,36401.0
351 NORTH BROAD STREET,MOBILE,AL,366035898.0
800 LAKESHORE DR,BIRMINGHAM,AL,352292240.0
1501 Lapsley St,Dinkins Hall,Selma,AL
9500 OLD GREENSBORO RD,TUSCALOOSA,AL,35405.0
3401 MARTIN LUTHER KING BLVD,TUSCALOOSA,AL,354013541.0
P.O. Box 734,BOAZ,AL,359570734.0
307 N UNIVERSITY BLVD,MOBILE,AL,366880002.0
1504 Springhill Ave,Mobile,AL,36604.0
254 Old Bay Front Rd.,Mobile,AL,36615.0
10 N. Summit St.,Fairhope,AL,36532.0
4000 DAUPHIN ST,MOBILE,AL,366081791.0
2545 Valleydale Road,BIRMINGHAM,AL,352442083.0
3601 Stillman Boulevard,TUSCALOOSA,AL,35401.0
627 W BATTLE ST,TALLADEGA,AL,35160.0
1225 AIR BASE BLVD,MONTGOMERY,AL,361083199.0
University Avenue,TROY,AL,360820001.0
1 University Place,Phenix City,AL,36869.0
231 Montgomery Street,Montgomery,AL,361034419.0
501 University Drive,Dothan,AL,363040368.0
5425 Robin Hood Road,Suite B1,Norfolk,VA
81 Beal Parkway,S. E.,Ft Walton Beach,FL
506 Manchester Expressway,St. B20,Columbus,GA
5825 Delmonico Drive,Suite 120,Colorado Springs,CO
Kresge Center,3rd Floor,Tuskegee,AL
ONE ACADEMY DR,DAPHNE,AL,365267055.0
100 STATE ST,SUMITON,AL,35148.0
3211 PROVIDENCE DR,ANCHORAGE,AK,99508.0
Mile 2 Trunk Road,Palmer,AK,99645.0
156 College Road,Soldotna,AK,99669.0
533 E. Pioneer Avenue,Homer,AK,996037624.0
117 Benny Benson Drive,Kodiak,AK,99615.0
P.O. Box 757480,FAIRBANKS,AK,997757480.0
201 Akiak Drive,Bethel,AK,995590368.0
Pouch 400,Nome,AK,99762.0
Box 1070,Dillingham,AK,99576.0
Box 297,Kotzebue,AK,99752.0
P.O. Box 756720,Fairbanks,AK,997756720.0
604 Barnette Street,Fairbanks,AK,99701.0
11120 GLACIER HWY,JUNEAU,AK,99801.0
2600 7th Ave,Ketchikan,AK,99901.0
1332 Seward St,Sitka,AK,99835.0
4101 UNIVERSITY DR,ANCHORAGE,AK,99508.0
516 3rd Avenue,SEWARD,AK,996640889.0
2221 E NORTHERN LIGHTS BLVD STE 120,ANCHORAGE,AK,99508.0
303 LOWE ST,VALDEZ,AK,99686.0
1415 E TUDOR ROAD,ANCHORAGE,AK,995071033.0
10400 North 25th Avenue,Suite 190,PHOENIX,AZ
4750 S. 44th Place,Phoenix,AZ,85040.0
9630 North 25th Ave.,Phoenix,AZ,850212740.0
12827 North Tatum Blvd.,Phoenix,AZ,85032.0
3030 E SPEEDWAY BLVD,TUCSON,AZ,85716.0
1 Global Place,GLENDALE,AZ,853066000.0
10020 N 15TH AVE,PHOENIX,AZ,85021.0
440 S 54TH AVE,PHOENIX,AZ,850434729.0
8503 N 27TH AVE,PHOENIX,AZ,850514063.0
1322 South Country Club Drive,MESA,AZ,85210.0
3550 N ORACLE RD,TUCSON,AZ,857053591.0
2701 W BETHANY HOME RD,PHOENIX,AZ,850171705.0
1001 Menaul Blvd NE,ALBUQUERQUE,NM,871071642.0
5740 S. Eastern Avenue,Suite 140,Las Vegas,NV
3012 East Route 66,Flagstaff,AZ,86004.0
5631 E SPEEDWAY BLVD,TUCSON,AZ,85712.0
6829 N 46TH AVE,GLENDALE,AZ,853013579.0
4240 W,Bethany Home Road,Phoenix,AZ
735 E. Apache Blvd.,TEMPE,AZ,852871812.0
411 N. Central Avenue,Phoenix,AZ,850042115.0
7001 E. Williams Field Road,Mesa,AZ,852121812.0
4701 W. Thunderbird Road,Glendale,AZ,853061812.0
2020 S. Avenue 8E,YUMA,AZ,85365.0
1351 S. Redondo Center Dr.,Yuma,AZ,85365.0
1340 N 8th Avenue,San Luis,AZ,85349.0
1011 N. Somerton Ave.,Somerton,AZ,85350.0
601 W. 11th Street,Parker,AZ,85344.0
1401 E UNIVERSITY,TUCSON,AZ,857210066.0
2525 N COUNTRY CLUB RD,TUCSON,AZ,85716.0
7201 E CAMELBACK STE 100,SCOTTSDALE,AZ,85251.0
15210 S. 50TH STREET SUITE 150,PHOENIX,AZ,85044.0
8470 N OVERFIELD RD,COOLIDGE,AZ,851289778.0
80440 EAST ARAVAIPA RD.,WINKELMAN,AZ,85192.0
273 OLD WEST HIGHWAY,APACHE JUNCTION,AZ,851195231.0
800 E. BUTTE,BLDG 100,FLORENCE,AZ
1015 EAST FLORENCE BLVD.,CASA GRANDE,AZ,85122.0
168 S. Main Street,Coolidge,AZ,85128.0
29895 N. Desert Willow Blvd.,Queen Creek,AZ,85143.0
20800 N. John Wayne Parkway,Ste.104,Maricopa,AZ
4585 E. Speedway Blvd #204,Tucson,AZ,85712.0
1987 MCCULLOCH BLVD,Suite 205,LAKE HAVASU CITY,AZ
4190 W. Highway 80,Douglas,AZ,856079724.0
1790 E RTE 66,FLAGSTAFF,AZ,86004.0
2978 N ALMA SCHOOL RD  STE 1-3,CHANDLER,AZ,85224.0
6390 E. Broadway,TUCSON,AZ,85710.0
2149 W DUNLAP AVE,PHOENIX,AZ,850212995.0
18500 N. Allied Way,Suite 150,Phoenix,AZ
